player,position,team,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,passes_received,progressive_passes_received
Guillermo Varela,DF,Uruguay,1993,3,2,183,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.05,0.05,0.0,0.05,0,0,,0.0,0.0,,,,0.0,,0.0,0.0,62.0,92.0,67.4,1043.0,465.0,31.0,38.0,81.6,22.0,33.0,66.7,7.0,14.0,50.0,0.0,-0.1,1.0,3.0,2.0,1.0,6.0,72.0,20.0,2.0,0.0,1.0,7,18.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2,2.0,1.0,0.0,3.0,4.0,75.0,1.0,1.0,0.0,1.0,3,6.0,1.0,0.0,2.0,0.98,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,8,0,0.0,0.0,0,8.0,1.0,2.0,33.3,61.0,67.8,90.0,2,1,3.0,0,1.33,2.0,2.0,0.0,0.0,0.0,3.1,3.0,0.2,0.08,0.08,109.0,2.0,29.0,57.0,23.0,0.0,109.0,0.0,3.0,0.0,2.0,1.0,66.0,5.0
Hakim Ziyech,FW,Morocco,1993,7,7,635,7.1,1,1,1,0,0,0,0,0.14,0.14,0.28,0.14,0.28,0.4,0.4,0.7,1.1,0.06,0.1,0.16,0.06,0.16,10,2,20.0,1.42,0.28,0.1,0.5,27.2,1.0,0.04,0.6,0.6,211.0,306.0,69.0,3462.0,987.0,118.0,139.0,84.9,57.0,79.0,72.2,27.0,62.0,43.5,0.5,0.3,7.0,16.0,7.0,0.0,24.0,260.0,42.0,24.0,0.0,15.0,30,7.0,11.0,5.0,2.0,0.0,4.0,8.0,10.0,7,4.0,5.0,1.0,4.0,11.0,36.4,7.0,10.0,0.0,10.0,10,20.0,4.0,1.0,20.0,2.97,11.0,6.0,3.0,0.0,0.0,0.0,3.0,0.45,2.0,0.0,1.0,0.0,0.0,0.0,0,12,7,2,0.0,0.0,0,29.0,3.0,6.0,33.3,91.0,96.2,91.0,5,0,,0,1.57,6.0,5.0,1.0,0.14,0.14,6.0,7.2,-1.1,-0.17,-0.72,386.0,3.0,70.0,185.0,134.0,8.0,386.0,12.0,29.0,41.4,15.0,11.0,263.0,17.0
Harry Kane,FW,England,1993,5,5,402,4.5,2,3,1,1,2,0,0,0.45,0.67,1.12,0.22,0.9,2.7,1.1,1.5,2.6,0.6,0.34,0.94,0.25,0.59,10,5,50.0,2.24,1.12,0.1,0.2,20.4,0.0,0.11,-0.7,-0.1,62.0,98.0,63.3,1027.0,390.0,33.0,43.0,76.7,24.0,36.0,66.7,5.0,7.0,71.4,0.7,1.5,5.0,12.0,5.0,1.0,16.0,94.0,3.0,0.0,2.0,1.0,6,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,1,1.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,1.0,1.0,0,2.0,5.0,0.0,10.0,2.24,5.0,0.0,1.0,3.0,1.0,0.0,3.0,0.67,3.0,0.0,0.0,0.0,0.0,0.0,0,1,9,0,0.0,0.0,0,16.0,9.0,13.0,40.9,80.0,89.3,80.0,3,0,,0,2.0,11.0,3.0,8.0,1.79,-0.08,6.8,2.8,3.9,0.88,-0.4,138.0,7.0,8.0,61.0,71.0,13.0,136.0,4.0,8.0,50.0,10.0,5.0,110.0,22.0
Harry Maguire,DF,England,1993,5,5,429,4.8,0,1,0,0,0,1,0,0.0,0.21,0.21,0.0,0.21,0.4,0.4,0.0,0.4,0.08,0.01,0.09,0.08,0.09,6,1,16.7,1.26,0.21,0.0,0.0,10.0,0.0,0.06,-0.4,-0.4,354.0,407.0,87.0,7329.0,2340.0,99.0,109.0,90.8,212.0,224.0,94.6,43.0,68.0,63.2,0.1,1.0,1.0,23.0,1.0,0.0,19.0,391.0,16.0,16.0,0.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,3,4.0,3.0,0.0,1.0,2.0,50.0,1.0,4.0,3.0,1.0,4,11.0,18.0,0.0,6.0,1.26,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.21,1.0,0.0,0.0,0.0,0.0,0.0,0,6,2,1,0.0,0.0,0,17.0,15.0,5.0,75.0,86.0,95.3,86.0,4,0,,0,2.0,11.0,3.0,8.0,1.68,-2.61,7.6,3.0,4.5,0.95,0.64,445.0,28.0,204.0,224.0,20.0,13.0,445.0,2.0,2.0,100.0,0.0,0.0,344.0,2.0
Harry Souttar,DF,Australia,1998,4,4,360,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.02,0.01,0.03,0.02,0.03,1,0,0.0,0.25,0.0,0.0,,8.5,0.0,0.08,-0.1,-0.1,138.0,167.0,82.6,2588.0,1257.0,54.0,56.0,96.4,64.0,69.0,92.8,14.0,35.0,40.0,0.1,0.0,1.0,9.0,0.0,0.0,5.0,163.0,4.0,4.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0,3.0,1.0,0.0,2.0,3.0,66.7,1.0,7.0,4.0,3.0,6,10.0,22.0,0.0,2.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0.0,0.0,0,17.0,14.0,7.0,66.7,90.0,100.0,90.0,4,0,,0,1.5,4.0,6.0,-2.0,-0.5,,2.3,7.2,-4.9,-1.23,,213.0,37.0,143.0,68.0,4.0,2.0,213.0,0.0,0.0,,1.0,0.0,128.0,0.0
Hassan Al Tambakti,DF,Saudi Arabia,1999,2,2,180,2.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,0.0,,0.0,0.0,40.0,55.0,72.7,694.0,326.0,17.0,18.0,94.4,19.0,24.0,79.2,3.0,9.0,33.3,0.0,0.0,0.0,1.0,0.0,0.0,3.0,49.0,6.0,6.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2,3.0,1.0,0.0,3.0,5.0,60.0,2.0,3.0,2.0,1.0,3,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,5,0,0.0,0.0,0,9.0,1.0,1.0,50.0,90.0,66.7,90.0,2,0,,1,1.5,3.0,3.0,0.0,0.0,2.0,1.3,4.5,-3.2,-1.6,-1.76,75.0,17.0,43.0,31.0,2.0,2.0,75.0,0.0,0.0,,0.0,0.0,34.0,0.0
Hassan Al-Haydos,MF,Qatar,1990,3,3,206,2.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.01,0.27,0.27,0.01,0.27,1,1,100.0,0.44,0.44,0.0,0.0,29.2,0.0,0.01,0.0,0.0,65.0,80.0,81.3,1088.0,282.0,33.0,39.0,84.6,24.0,25.0,96.0,7.0,12.0,58.3,0.5,-0.6,2.0,5.0,2.0,2.0,6.0,75.0,5.0,2.0,0.0,2.0,4,1.0,2.0,2.0,0.0,0.0,0.0,3.0,4.0,1,2.0,2.0,0.0,2.0,8.0,25.0,6.0,0.0,0.0,0.0,2,6.0,1.0,0.0,6.0,2.62,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,1,0.0,0.0,0,12.0,0.0,2.0,0.0,69.0,76.3,69.0,0,0,,0,0.0,0.0,6.0,-6.0,-2.62,-2.62,1.1,3.2,-2.1,-0.94,-0.96,101.0,1.0,25.0,52.0,27.0,0.0,101.0,2.0,6.0,33.3,6.0,3.0,72.0,7.0
Hernán Galíndez,GK,Ecuador,1987,3,3,270,3.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,0.0,,0.0,0.0,44.0,74.0,59.5,1275.0,996.0,11.0,11.0,100.0,16.0,16.0,100.0,16.0,46.0,34.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,28.0,7.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,3.0,2.0,0.0,100.0,90.0,100.0,90.0,3,0,,0,1.33,4.0,3.0,1.0,0.33,,3.7,2.6,1.2,0.39,,77.0,63.0,77.0,0.0,0.0,0.0,77.0,0.0,0.0,,0.0,0.0,29.0,0.0
Hidemasa Morita,MF,Japan,1995,3,3,285,3.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.2,0.05,0.03,0.08,0.05,0.08,3,1,33.3,0.95,0.32,0.0,0.0,22.9,0.0,0.05,-0.2,-0.2,129.0,157.0,82.2,2180.0,695.0,68.0,79.0,86.1,47.0,58.0,81.0,12.0,16.0,75.0,0.1,-0.1,2.0,14.0,2.0,1.0,11.0,154.0,3.0,2.0,1.0,1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,9.0,2.0,7.0,3,3.0,4.0,0.0,9.0,2.84,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,1,0,0.0,0.0,0,21.0,5.0,7.0,41.7,95.0,73.1,95.0,2,0,,1,1.33,3.0,3.0,0.0,0.0,-0.86,3.5,2.4,1.2,0.37,1.94,192.0,11.0,44.0,116.0,33.0,3.0,192.0,0.0,3.0,0.0,4.0,5.0,128.0,2.0
Hirving Lozano,FW,Mexico,1995,3,3,252,2.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,1.2,0.07,0.36,0.42,0.07,0.42,6,3,50.0,2.14,1.07,0.0,0.0,26.0,1.0,0.03,-0.2,-0.2,42.0,77.0,54.5,641.0,258.0,21.0,28.0,75.0,14.0,22.0,63.6,4.0,15.0,26.7,0.9,-1.0,8.0,1.0,8.0,3.0,7.0,69.0,7.0,5.0,3.0,0.0,24,2.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,2,1.0,5.0,1.0,3.0,4.0,75.0,1.0,4.0,0.0,4.0,0,7.0,1.0,0.0,20.0,7.14,13.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,11,2,0.0,0.0,0,14.0,1.0,10.0,9.1,84.0,93.3,84.0,2,0,,0,1.33,2.0,2.0,0.0,0.0,5.0,3.3,2.3,0.9,0.34,0.55,109.0,0.0,8.0,35.0,69.0,7.0,109.0,5.0,10.0,50.0,10.0,4.0,76.0,20.0
