player,TD,Z1D,Z2D,Z3D,Z4D,Z5D,HSR_count,sprint_count,max_speed,match_date,jersey_number,position,team_name,is_starting,substitute_time,total_playing_time,total_match_time
CHRISTENSEN ANDREAS,9829.5,3875.8,4515.7,1055.7,283.1,98.3,91.0,25.0,34.5,2022-11-22,6.0,DF,Denmark,True,90.0,90.0,90.0
DELANEY THOMAS,5539.8,1590.5,2529.5,925.7,398.9,95.3,78.0,27.0,31.8,2022-11-22,8.0,MF,Denmark,True,45.0,45.0,90.0
ERIKSEN CHRISTIAN,12472.7,3551.0,6333.6,1923.3,542.6,123.5,160.0,42.0,31.9,2022-11-22,10.0,MF,Denmark,True,90.0,90.0,90.0
SKOV OLSEN ANDREAS,8073.6,2641.7,3424.0,1354.7,514.3,138.9,114.0,42.0,32.7,2022-11-22,11.0,MF,Denmark,True,65.0,65.0,90.0
DOLBERG KASPER,7739.0,2366.6,3900.4,1005.3,417.9,49.5,92.0,32.0,30.2,2022-11-22,12.0,FW,Denmark,True,65.0,65.0,90.0
KRISTENSEN RASMUS,10849.5,4054.5,4433.1,1372.5,724.7,264.7,129.0,51.0,31.9,2022-11-22,13.0,DF,Denmark,True,90.0,90.0,90.0
HOJBJERG PIERRE-EMILE,10597.8,3649.9,4710.7,1554.7,516.1,166.4,141.0,44.0,32.2,2022-11-22,23.0,MF,Denmark,True,90.0,90.0,90.0
JENSEN MATHIAS,3923.3,1246.8,1761.2,653.6,208.7,53.0,56.0,18.0,29.9,2022-11-22,7.0,MF,Denmark,False,78.0,12.0,90.0
DAMSGAARD MIKKEL,6265.5,1898.5,2855.2,906.0,446.1,159.8,81.0,37.0,32.7,2022-11-22,14.0,MF,Denmark,False,45.0,45.0,90.0
CORNELIUS ANDREAS,3439.9,1329.5,1421.0,348.8,268.3,72.2,36.0,24.0,30.0,2022-11-22,21.0,MF,Denmark,False,65.0,25.0,90.0
LINDSTROM JESPER,3892.3,1377.5,1664.7,435.2,271.7,143.2,44.0,23.0,30.4,2022-11-22,25.0,MF,Denmark,False,65.0,25.0,90.0
MENDY EDOUARD,5770.7,4071.8,1562.1,102.7,34.6,0.0,12.0,2.0,26.5,2022-11-29,16.0,GK,Senegal,True,90.0,90.0,90.0
KOULIBALY KALIDOU,8861.6,3898.2,3402.0,1082.0,329.7,148.9,100.0,26.0,30.4,2022-11-29,3.0,DF,Senegal,True,90.0,90.0,90.0
GUEYE IDRISSA GANA,10677.2,3512.8,4313.6,1687.0,937.5,227.4,145.0,61.0,31.3,2022-11-29,5.0,MF,Senegal,True,66.0,66.0,90.0
DIA BOULAYE,10381.6,3524.6,4320.8,1622.6,681.0,231.5,141.0,58.0,34.4,2022-11-29,9.0,FW,Senegal,True,90.0,90.0,90.0
CISS PATHE,7786.5,2992.3,3281.2,1023.1,407.2,82.5,92.0,30.0,28.9,2022-11-29,11.0,MF,Senegal,True,74.0,74.0,90.0
NDIAYE ILIMAN,7559.9,3151.7,2840.2,696.3,520.1,352.3,70.0,45.0,32.4,2022-11-29,13.0,FW,Senegal,True,75.0,75.0,90.0
JAKOBS ISMAIL,10602.2,3464.8,4754.0,1211.8,834.4,336.1,113.0,59.0,33.1,2022-11-29,14.0,DF,Senegal,True,90.0,90.0,90.0
SARR ISMAILA,10921.3,3933.9,4587.0,1167.5,830.0,403.0,106.0,66.0,33.6,2022-11-29,18.0,DF,Senegal,True,90.0,90.0,90.0
SABALY YOUSSOUF,9833.5,3386.7,4192.0,1263.6,770.9,220.3,114.0,54.0,32.5,2022-11-29,21.0,DF,Senegal,True,90.0,90.0,90.0
