player,TD,Z1D,Z2D,Z3D,Z4D,Z5D,HSR_count,sprint_count,max_speed,position,total_playing_time
SULTAN ALGHANNAM,16136.0,4820.3,7590.3,2217.9,1135.7,371.5,201.0,97.0,32.5,DF,180.0
SZCZESNY WOJCIECH,18466.8,14682.7,3102.8,597.0,85.2,0.0,80.0,10.0,24.8,GK,360.0
TADIC DUSAN,34547.7,9164.6,16840.2,5768.6,2274.5,499.59999999999997,462.0,150.0,32.3,FW,258.0
TAGLIAFICO NICOLAS,43360.7,16400.5,16982.1,6014.3,2870.9,1092.6,567.0,237.0,32.1,DF,316.0
TALBI MONTASSAR,30447.1,12134.1,12950.6,3402.3,1451.8000000000002,509.4,323.0,122.0,31.5,DF,270.0
TANAKA AO,33072.4,8742.0,16392.9,5549.6,1965.3000000000002,421.6,469.0,140.0,31.4,MF,175.0
TANIGUCHI SHOGO,22540.7,8617.2,11304.9,1776.1,689.7,151.6,174.0,57.0,28.7,DF,164.0
TAREMI MEHDI,35555.8,11548.0,15187.599999999999,4809.6,2964.8999999999996,1044.3,448.0,214.0,32.3,FW,245.0
TCHOUAMENI AURE LIEN,71197.8,23754.0,31081.2,11665.5,3954.8,740.3,998.0,294.0,33.7,MF,557.0
TEJEDA YELTSIN,23745.4,6852.7,12218.900000000001,3598.3,1002.1,71.1,301.0,61.0,27.7,MF,180.0
THIAGO SILVA,35933.2,17307.7,12962.1,3719.6,1451.2,490.9,355.0,130.0,31.4,DF,390.0
TOMIYASU TAKEHIRO,22377.5,7668.0,10595.400000000001,2851.7,992.5,269.8,264.0,86.0,31.7,DF,148.0
TORRES FERRAN,24940.4,9704.8,8746.599999999999,3888.1,1805.7,794.2,349.0,152.0,34.5,FW,219.0
TRIPPIER KIERAN,25277.300000000003,8663.7,11407.4,2927.8,1663.8,614.4000000000001,264.0,114.0,31.3,DF,205.0
TURNER MATT,21139.6,16417.2,4117.3,447.3,126.7,30.5,51.0,13.0,28.2,GK,333.0
UPAMECANO DAYOT,44814.1,18030.9,19310.3,4486.1,1960.5,1026.5,444.0,183.0,34.3,DF,390.0
VALENCIA ENNER,26102.0,10172.4,11059.4,2699.6,1640.7,528.2,254.0,134.0,34.5,FW,257.0
VALVERDEFEDERICO,43638.6,12771.3,20359.4,6311.0,2949.1,1249.2,531.0,224.0,33.0,0,270.0
VAN DIJK VIRGIL,56459.4,27177.6,19890.1,6466.9,2154.9,771.6,587.0,179.0,32.8,DF,570.0
VARANE RAPHAEL,45260.7,19841.3,19316.7,4023.8,1575.6999999999998,506.20000000000005,374.0,135.0,31.9,DF,453.0
VARELA GUILLERMO,33492.8,12312.1,13769.300000000001,3921.2999999999997,2526.9,964.6,359.0,179.0,32.2,0,182.0
VARGAS RUBEN,34120.6,11796.7,13617.6,5039.1,2588.5,1080.4,456.0,210.0,33.5,FW,260.0
VECINO MATIAS,36385.9,9732.0,15988.900000000001,7994.4,2375.3,296.3,602.0,160.0,30.8,0,197.0
VEGA ALEXIS,20694.6,8608.6,7687.0,2429.0,1467.6,501.6,219.0,110.0,32.3,FW,196.0
VELJKOVIC MILOS,25135.5,8354.1,12640.9,2792.4,1163.1,184.8,246.0,74.0,30.1,DF,182.0
VERTONGHEN JAN,27591.1,12477.1,10610.1,3179.0,1076.8000000000002,248.1,261.0,81.0,28.7,DF,270.0
VINICIUS JUNIOR,30860.0,13582.6,9087.4,4171.1,2435.8,1582.4,389.0,202.0,34.1,FW,302.0
VITORIA STEVEN,28653.5,10504.0,12716.5,3721.2,1459.0,253.0,339.0,107.0,32.5,DF,264.0
VLASIC NIKOLA,28058.0,9552.1,11325.1,4023.9,2259.6,897.0,381.0,175.0,32.7,MF,205.0
WALKER KYLE,25640.5,10804.0,10014.5,2751.7999999999997,1390.0,679.5999999999999,268.0,119.0,34.4,DF,245.0
WEAH TIMOTHY,36944.6,12035.3,15571.9,5410.5,2665.9,1260.9,459.0,206.0,34.6,FW,320.0
WIDMER SILVAN,30317.6,10253.9,13116.3,4102.0,1930.9,915.5,385.0,153.0,33.8,DF,195.0
WILLIAM CARVALHO,27855.6,9911.1,11669.5,4775.2,1281.9,215.79999999999998,379.0,92.0,31.4,MF,215.0
WILLIAMS INAKI,20583.8,7723.799999999999,7587.6,3061.2,1284.9,926.3,275.0,107.0,34.0,FW,180.0
WILLIAMS NECO,22999.0,7632.5,9939.6,3150.0,1612.0,667.3000000000001,285.0,128.0,32.3,DF,216.0
WILLIAMS NICO,16734.4,6128.9,6180.1,2337.3,1256.4,832.0999999999999,219.0,124.0,35.6,DF,147.0
WILSON HARRY,19616.7,6842.200000000001,8186.1,2953.4,1239.5,394.9,261.0,99.0,33.8,MF,164.0
WITSEL AXEL,34310.5,9283.9,16623.9,6349.900000000001,1857.0,193.39999999999998,503.0,127.0,29.1,MF,270.0
WRIGHT HAJI,19664.8,5449.1,8964.3,3684.1000000000004,1158.6,407.1,314.0,92.0,32.2,FW,135.0
XHAKA GRANIT,46230.0,12906.400000000001,21627.2,8069.799999999999,2985.4,640.0,659.0,211.0,31.5,MF,360.0
YOSHIDA MAYA,31959.0,12904.3,14747.099999999999,3172.9,876.6,257.1,296.0,82.0,31.0,DF,255.0
ZIELINSKI PIOTR,41898.2,13805.3,19125.6,5785.6,2549.1,632.4,527.0,193.0,33.1,MF,289.0
ZIGI LAWRENCE ATI,12132.7,9452.6,2355.8,260.0,57.9,6.9,41.0,7.0,25.1,GK,270.0
ZIMMERMAN WALKER,32895.399999999994,10917.2,16460.0,3816.8,1343.9,356.1,345.0,118.0,33.0,DF,270.0
ZIVKOVIC ANDRIJA,24376.6,8292.5,9770.8,3821.6,1799.8000000000002,692.0,307.0,126.0,31.9,MF,213.0
ZIYECH HAKIM,68000.2,26986.7,24008.1,9964.6,5343.5,1695.9,905.0,392.0,31.4,MF,602.0
