player,TD,Z1D,Z2D,Z3D,Z4D,Z5D,HSR_count,sprint_count,max_speed,position,total_playing_time
GHOLIZADEH ALI,25149.7,7756.0,10947.3,3935.8,1859.6,650.4000000000001,347.0,134.0,32.2,MF,121.0
GIMENEZ JOSE MARIA,39674.8,15541.3,16958.4,5090.5,1681.5,402.8,460.0,139.0,30.5,0,270.0
GI ROUD OLIVIER,37495.8,15536.599999999999,14019.5,4757.3,2474.8,708.2,470.0,196.0,30.7,FW,318.0
GNABRY SERGE,30050.9,10684.8,11747.3,4446.6,2161.1,1011.8,414.0,176.0,34.2,FW,241.0
GODIN DIEGO,15388.4,6592.2,6557.8,1471.8,510.1,258.1,134.0,45.0,30.5,DF,152.0
GONCALO RAMOS,20767.1,6582.2,8509.3,3469.7,1604.1,601.5,305.0,121.0,31.5,FW,169.0
GONDA SHUICHI,11997.4,10210.5,1514.4,239.1,33.1,0.0,28.0,4.0,24.3,GK,300.0
GOODWIN CRAIG,29669.0,10608.2,12483.4,4464.2,1789.1,323.6,387.0,134.0,31.0,FW,172.0
GORETZKA LEON,20569.5,7132.2,8465.5,3222.7,1375.5,372.0,275.0,104.0,32.2,MF,171.0
GRI EZMANN ANTOINE,56766.799999999996,21801.5,22572.7,8904.4,2783.0,706.0,697.0,219.0,32.1,FW,365.0
GUEYE IDRISSA GANA,33398.4,10175.2,14511.2,5257.6,2855.7,599.9,452.0,189.0,31.3,MF,246.0
GVARDIOL JOSKO,78244.0,30021.2,33081.7,9243.3,4238.7,1661.5,805.0,331.0,33.3,DF,690.0
HAJISAFI EHSAN,30495.3,9771.9,14068.0,4394.4,1925.1,336.1,358.0,132.0,30.4,DF,252.0
HAKIMI ACHRAF,70310.59999999999,25940.6,29873.5,8451.3,4093.1,1954.1999999999998,765.0,333.0,35.3,DF,633.0
HASSAN ALHAYDOS,24499.4,6657.7,11729.1,3998.1000000000004,1773.4,340.5,370.0,129.0,32.0,MF,199.0
HAZARD EDEN,15251.900000000001,5836.2,6187.6,2054.2999999999997,948.4000000000001,225.5,169.0,66.0,29.0,FW,125.0
HENDERSON JORDAN,33370.5,11683.400000000001,12871.3,5210.8,2476.7,1129.3,469.0,188.0,32.7,MF,240.0
HERNANDEZ THEO,46586.399999999994,17756.8,18644.1,5338.6,2947.1,1898.1,490.0,247.0,33.7,DF,326.0
HERRERA HECTOR,18487.6,6219.6,8686.1,2546.8,830.3,205.39999999999998,229.0,62.0,31.9,MF,137.0
HINCAPIE PIERO,31296.2,10384.1,15042.9,3798.5,1550.4,518.2,339.0,132.0,32.0,DF,180.0
HOILETT JUNIOR,19496.300000000003,5794.9,8541.5,3177.4,1681.9,301.2,285.0,110.0,31.9,MF,162.0
HOJBJERG PIERRE-EMILE,31659.6,11152.4,13835.3,4611.6,1561.5,498.8,393.0,118.0,32.8,MF,270.0
HOMAM AHMED,31617.2,10970.7,13027.2,4265.2,2082.2,1272.1,400.0,170.0,33.4,DF,270.0
HOSSEINI MAJID,30889.0,11591.9,14705.5,2988.5,1302.8,301.5,282.0,104.0,30.1,DF,257.0
HUTCHINSON ATIBA,20825.7,5153.9,10319.900000000001,3666.3,1401.3,285.2,295.0,100.0,29.6,MF,178.0
IRVINE JACKSON,48958.4,14273.8,21787.4,8883.6,3385.8,629.0,749.0,248.0,31.5,MF,328.0
ISMAIL MOHAMAD,18588.0,7100.6,7191.8,2399.8,1102.2,793.8,218.0,106.0,34.4,DF,170.0
ITAKURA KOU,19455.6,7917.299999999999,8687.3,1807.0,881.5,162.60000000000002,168.0,71.0,31.5,DF,129.0
ITO JUNYA,32170.8,12593.8,13462.0,3205.7999999999997,1963.9,943.0999999999999,319.0,160.0,34.1,MF,234.0
JAKOBS ISMAIL,32587.000000000004,10590.5,14123.1,3896.3,2541.9,1434.4,372.0,208.0,35.0,DF,254.0
JAMES DANIEL,18144.699999999997,6927.9,6728.4,2493.1,1260.1,734.1,235.0,107.0,35.4,FW,155.0
JEBALI ISSAM,22974.1,8018.8,9283.0,3408.2,1850.2,413.59999999999997,305.0,133.0,31.1,FW,191.0
JOAO CANCELO,37444.8,15017.7,15061.0,4187.3,2416.8,760.0,370.0,169.0,33.5,DF,300.0
JOAO FELIX,38074.4,13499.5,16437.1,5489.9,1929.1,720.6,472.0,150.0,33.7,FW,318.0
JOHNSTON ALISTAIR,33219.3,11127.9,13723.0,5080.8,2142.7,1146.9,453.0,172.0,34.5,DF,263.0
JUNG WOOYOUNG,37649.0,12236.8,16011.1,6271.6,2517.3,615.9,544.0,166.0,30.1,MF,303.0
JURANOVIC JOSIP,64108.2,26878.2,24122.5,6731.799999999999,4290.5,2084.0,625.0,330.0,34.5,DF,600.0
KAMADA DAICHI,29981.4,9564.1,13381.4,4617.7,1926.6,493.6,369.0,135.0,30.1,MF,234.0
KAMINSKI JAKUB,29099.2,8943.8,12592.2,4255.1,2239.8,1066.5,375.0,176.0,34.4,MF,248.0
KANE HARRY,46115.1,17085.9,21723.9,4791.2,2087.5,426.5,403.0,144.0,33.0,FW,355.0
KARIMI ALI,16527.0,4939.5,6762.4,3321.8,1341.9,162.1,269.0,90.0,30.4,MF,142.0
KIM JINSU,35947.4,14015.9,13915.7,4517.8,2366.6,1131.6,443.0,186.0,32.3,DF,316.0
KIMMICH JOSHUA,38280.1,9607.2,19786.6,6315.4,2121.1,451.1,518.0,153.0,31.0,MF,240.0
KIM MINJAE,26869.199999999997,11040.0,10587.0,2931.1,1532.4,778.7,284.0,121.0,33.6,DF,270.0
KIM MOONHWAN,42826.2,14955.5,17877.2,5202.5,3184.3,1605.6,512.0,268.0,34.8,DF,360.0
KIM SEUNGGYU,17606.9,13541.7,3407.6,551.7,106.0,0.0,65.0,11.0,25.4,GK,360.0
KIM YOUNGGWON,34532.7,15884.4,13123.3,3474.3,1581.1,469.6,344.0,122.0,31.3,DF,338.0
KIWIOR JAKUB,37074.5,14017.8,17473.0,3580.5,1321.9,680.3,321.0,120.0,32.5,0,195.0
KOLO MUANI RANDAL,22493.1,8248.2,9542.0,2565.2,1346.4,791.7,251.0,124.0,34.9,FW,125.0
KONATE IBRAHIMA,20771.1,9567.7,7470.9,2274.9,1066.7,390.7,223.0,87.0,34.8,DF,195.0
KOOPMEINERS TE UN,29431.8,8526.6,13829.1,4990.0,1694.6,391.1,425.0,131.0,31.7,MF,134.0
KOULIBALY KALIDOU,35203.2,15547.2,12565.6,4926.9,1648.7,515.1,428.0,131.0,32.3,DF,360.0
KOUNDEJULES,47683.9,16820.8,20561.7,6486.2,2973.0,844.8000000000001,598.0,233.0,33.5,DF,314.0
KOVACIC MATEO,76904.4,23571.8,36616.3,10823.0,4413.9,1477.8,915.0,365.0,32.6,MF,640.0
KRAMARIC ANDREJ,68405.1,20714.9,31919.699999999997,9537.5,4874.0,1360.8000000000002,867.0,394.0,32.9,FW,526.0
KRISTENSEN RASMUS,26387.6,9761.2,10858.8,3521.1,1762.0,485.1,318.0,121.0,31.9,DF,270.0
KRYCHOWIAK GRZEGORZ,38566.9,14828.699999999999,16831.3,4623.1,1801.0,482.3,416.0,138.0,32.0,MF,329.0
KUDUS MOHAMMED,26636.800000000003,9888.2,11156.0,2884.2,1650.3000000000002,1058.8,292.0,159.0,33.4,MF,257.0
LAIDOUNI AISSA,30136.8,10593.2,13951.5,3690.4,1380.4,520.4,295.0,106.0,34.1,MF,229.0
LAPORTE AYMERIC,32728.1,12869.7,14549.5,3647.2,1063.6,599.1,324.0,103.0,33.6,DF,300.0
LARYEA RICHIE,19672.5,6171.3,7994.5,2920.6,1772.0,813.4,256.0,133.0,33.8,DF,161.0
LECKIE MATHEW,40729.0,13252.6,18656.2,4764.6,2743.3,1310.0,482.0,243.0,33.4,FW,336.0
LEE JAESUNG,27891.2,7187.3,12822.199999999999,5263.7,2297.0,321.1,440.0,150.0,31.1,FW,213.0
LEWANDOWSKI ROBERT,41779.6,19326.4,15981.400000000001,4018.4,1815.7,637.6,354.0,133.0,33.6,FW,360.0
LINDSTROM JESPER,25286.2,9591.9,9229.3,3492.8,2083.7,889.5999999999999,337.0,170.0,33.3,MF,156.0
LIVAJA MARKO,30268.5,10350.2,13935.4,3909.7000000000003,1688.9,384.1,362.0,127.0,30.0,FW,241.0
LIVAKOVIC DOMINIK,29201.6,23509.399999999998,4988.8,528.7,175.7,0.0,68.0,19.0,27.3,GK,690.0
LLORENTE MARCOS,12581.7,5017.6,5079.2,1249.4,811.5,424.0,120.0,66.0,34.5,DF,120.0
LLORIS HUGO,27139.1,21292.0,5358.1,383.8,105.8,0.0,49.0,11.0,24.6,GK,458.0
LOVREN DEJAN,64365.0,25558.699999999997,28128.7,6697.200000000001,2987.7,991.7,618.0,236.0,32.7,DF,508.0
LOZANO HIRVING,25794.600000000002,12397.9,7602.5,2850.1,1785.5,1158.6,291.0,169.0,34.3,FW,253.0
LUCAS PAQUETA,37732.7,13306.2,16161.2,5628.700000000001,2203.7,429.8,479.0,166.0,31.1,MF,263.0
LUKIC SASA,30962.300000000003,9873.8,13271.4,5397.1,1885.5,535.7,438.0,147.0,33.4,MF,218.0
MAC ALLISTER ALEXIS,64756.5,22299.3,30027.7,8056.6,3144.8,1224.7,726.0,277.0,32.7,MF,572.0
MAEDA DAIZEN,42008.8,11562.1,17409.4,7147.2,3885.7000000000003,2004.3,683.0,323.0,33.5,FW,183.0
MAEHLE JOAKIM,31238.6,10986.0,12143.199999999999,4766.200000000001,2384.6,958.5,404.0,173.0,33.1,DF,250.0
MAGUIRE HARRY,45753.9,18175.6,20334.9,5028.4,1844.2,371.0,468.0,150.0,30.5,DF,430.0
MAJER LOVRO,21297.1,5882.0,8255.4,4670.6,1992.6,496.6,350.0,125.0,30.7,MF,122.0
MARQUINHOS,46860.1,17369.1,20095.699999999997,5950.2,2616.2,827.8,545.0,212.0,32.8,DF,390.0
MARTINEZ EMILIANO,34202.9,27754.0,5332.9,906.0,184.1,23.8,104.0,19.0,30.9,GK,720.0
MARTINEZ LAUTARO,29813.0,10789.4,13889.5,2947.1,1628.5,557.1,290.0,138.0,31.4,FW,153.0
MARTINEZ LISANDRO,33931.0,14067.099999999999,14838.1,3261.5,1404.5,360.7,299.0,121.0,31.1,DF,211.0
MAZRAOUI NOUSSAIR,39926.0,14422.7,18535.800000000003,3733.5,2202.8,1031.1,362.0,177.0,33.5,DF,412.0
MBAPPE KYLIAN,48757.1,24833.6,13948.2,5204.9,2951.3,1819.7,489.0,273.0,35.2,FW,481.0
MCGREE RILEY,34583.4,9025.7,17397.5,5355.6,2274.3,529.6,463.0,179.0,33.0,MF,269.0
MCKENNIE WESTON,26765.4,8496.6,11607.0,4340.3,1675.1,644.5,380.0,127.0,31.3,MF,210.0
MENDY EDOUARD,21939.6,16028.6,5243.7,514.5,133.3,19.6,62.0,12.0,27.0,GK,360.0
MENDY NAMPALYS,36901.5,10156.6,16931.699999999997,7139.5,2316.4,357.4,563.0,162.0,31.4,MF,286.0
MEPHAM CHRIS,30748.6,11734.9,13373.2,3886.3999999999996,1274.6,480.7,355.0,96.0,31.4,DF,270.0
MERIAH YASSINE,28129.8,11845.7,12083.900000000001,2683.7,1014.4,502.0,249.0,94.0,32.5,DF,270.0
MESSI LIONEL,65216.399999999994,37738.9,16477.5,6401.7,3887.2,711.5,594.0,273.0,31.4,FW,610.0
MEUNIER THOMAS,27648.5,8433.5,12425.1,3865.2,2015.0,908.5,358.0,161.0,33.4,DF,215.0
MILENKOVIC NIKOLA,31223.6,11098.4,14351.9,3717.4,1562.1000000000001,492.8,351.0,117.0,33.2,DF,270.0
MILINKOVIC-SAVIC SERGEJ,31752.9,8211.7,16080.0,5414.2,1692.5,354.6,398.0,121.0,29.8,MF,223.0
MILINKOVIC-SAVIC VANJA,14795.7,10699.1,3184.3,562.0,253.7,95.5,65.0,22.0,29.2,GK,270.0
MILLER KAMAL,29220.8,11376.8,12495.7,3400.5,1532.5,414.2,312.0,99.0,31.9,DF,265.0
MITOMA KAORU,17543.4,6502.3,6996.8,2159.3,1093.4,792.3,215.0,103.0,33.6,FW,133.0
MITROVIC ALEKSANDAR,27768.199999999997,12871.6,10105.2,3258.4,1260.0,273.1,282.0,92.0,31.1,FW,244.0
MODRIC LUKA,74604.5,26699.1,31442.699999999997,10954.4,4423.4,1084.1,968.0,345.0,32.5,MF,624.0
MOHAMED KANNO,31231.9,13626.199999999999,11104.1,4448.4,1352.3,701.7,365.0,117.0,34.2,MF,270.0
MOHAMMADI MILAD,24188.0,8410.5,10308.7,2800.0,1790.6,878.7,266.0,155.0,33.7,DF,198.0
MOHAMMED ALOWAIS,15128.7,11254.3,3103.1000000000004,573.5,182.1,15.0,66.0,20.0,28.5,GK,266.0
MOLINA NAHUEL,65277.2,24273.5,24979.9,9252.8,4500.0,2269.9,816.0,365.0,34.9,DF,634.0
MONTES CESAR,28995.5,11094.8,13371.8,3238.5,1017.0,273.6,298.0,83.0,29.5,DF,270.0
MOORE KIEFFER,27976.5,9810.9,11321.2,3642.7999999999997,2632.9,567.7,368.0,206.0,32.7,FW,224.0
MOOY AARON,48367.2,13650.1,25041.3,7143.4,2046.1,488.9,585.0,150.0,31.3,MF,360.0
MORATA ALVARO,23851.0,8345.5,10782.0,2690.3,1295.8,738.0999999999999,227.0,107.0,32.1,FW,194.0
MORENO HECTOR,27104.3,11113.9,12471.2,2588.3,792.7,140.1,233.0,64.0,29.4,DF,223.0
MORITA HIDEMASA,25340.5,6391.8,13362.099999999999,3938.1000000000004,1457.1999999999998,191.4,334.0,108.0,30.8,MF,196.0
MOUNT MASON,23801.800000000003,7749.4,9838.7,3592.6000000000004,1829.1,792.1,296.0,146.0,32.2,MF,172.0
MSAKNI YOUSSEF,18661.6,7436.6,7505.4,2190.1,1191.5,338.0,202.0,83.0,32.2,FW,170.0
MUELLER THOMAS,25021.2,8647.2,10296.1,3583.6000000000004,2009.0,486.3,341.0,149.0,31.7,FW,227.0
MUSAH YUNUS,46794.9,13831.1,19450.6,8397.7,3888.4,1227.1,710.0,282.0,32.5,MF,345.0
MUSIALA JAMAL,30612.9,10787.2,12492.0,4415.7,2251.3,665.9,405.0,178.0,33.8,MF,259.0
NAGATOMO YUTO,20173.0,6462.4,9610.3,2562.8,1098.6,438.1,240.0,95.0,33.1,DF,200.0
NAVAS KEYLOR,7528.2,6244.3,1042.1,197.8,44.0,0.0,32.0,5.0,25.6,GK,180.0
NDIAYE ILIMAN,15607.0,5810.7,6278.9,1769.0,1116.1,633.1,173.0,96.0,33.5,FW,137.0
NEUER MANUEL,15705.099999999999,11413.7,3467.5,576.5,181.5,67.1,62.0,15.0,28.2,GK,270.0
NEYMAR,29356.8,11173.9,12567.1,3379.0,1581.8,654.9000000000001,307.0,120.0,32.8,FW,281.0
NOPPERT ANDRIES,29457.8,23221.5,5404.6,590.6,160.5,80.3,78.0,17.0,29.2,GK,570.0
NUNEZ DARWIN,37942.9,14254.1,14104.2,4809.6,2717.8,2056.6000000000004,444.0,222.0,34.7,0,252.0
OCHOA GUILLERMO,8234.1,6482.5,1527.6,197.89999999999998,26.1,0.0,21.0,2.0,24.8,GK,176.0
OLI VERA MATHIAS,42521.1,14142.5,17682.1,6850.4,2631.5,1210.7,585.0,222.0,33.5,0,259.0
OLMO DANI,39003.6,13958.9,15883.8,5312.7,2727.2999999999997,1118.9,513.0,229.0,33.4,FW,289.0
OTAMENDI NICOLAS,73058.1,27614.3,33908.1,7714.5,2992.9,830.2,732.0,250.0,31.3,DF,671.0
OTAVIO,24424.699999999997,7344.799999999999,11197.3,4084.9,1594.0,202.8,340.0,105.0,30.3,MF,199.0
OUNAHI AZZEDINE,72997.8,21742.1,33096.5,11653.1,5129.0,1376.7,982.0,395.0,32.7,MF,571.0
OVIEDO BRYAN,18859.9,6750.3,7976.1,2301.5,1365.6999999999998,466.2,208.0,96.0,31.6,DF,172.0
PAREDES LEANDRO,27144.5,9647.8,12139.5,3837.7,1284.0,235.70000000000002,358.0,94.0,30.2,MF,189.0
PARTEY THOMAS,22182.9,7027.299999999999,11059.9,2927.0,976.2,191.39999999999998,255.0,70.0,32.1,MF,180.0
PASALIC MARIO,35743.0,12267.7,14132.6,5302.099999999999,2888.1,1152.3,493.0,222.0,33.0,DF,267.0
PAVLOVIC STRAHINJA,28406.2,9130.3,13476.099999999999,3381.4,1658.1,760.4000000000001,300.0,145.0,33.8,DF,236.0
PEDRI,46618.7,13482.0,23013.8,7325.5,2331.9,464.0,599.0,179.0,30.5,MF,357.0
PEDRO MIGUEL,28235.4,12380.5,11073.1,2897.5,1253.9,630.4,270.0,102.0,33.5,DF,270.0
PELLISTRI FACUNDO,27388.9,11090.699999999999,9643.9,3346.0,2131.3999999999996,1177.3,309.0,175.0,34.8,0,182.0
PEPE,40278.1,15608.9,16817.2,5333.6,1968.3,548.1,446.0,141.0,31.2,DF,360.0
PERISIC IVAN,78418.8,31569.5,27210.1,11141.9,5775.7,2716.7,989.0,456.0,33.6,DF,672.0
PETKOVIC BRUNO,26754.0,9803.400000000001,11935.7,3549.1,1164.9,301.0,330.0,99.0,31.8,FW,230.0
PICKFORD JORDAN,26528.6,19369.0,6326.3,680.6,133.3,19.2,85.0,17.0,26.6,GK,417.0
PLATA GONZALO,31894.2,11061.3,12516.7,5109.9,2415.2,791.3,429.0,174.0,32.9,MF,237.0
